first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,newcust_age
Fonsie,missing,Male,96,1951-07-10,Account Representative III,not known,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18203125,66.47501711156742
Emilie,missing,Female,3,1979-05-22,Director of Sales,not known,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.18203125,38.60917180013689
Robert,missing,Male,55,1976-03-12,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175,41.80150581793292
Elvira,missing,Female,65,1973-03-18,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175,44.785763175906915
Juliana,missing,Female,55,1989-01-05,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175,28.982888432580424
Regine,missing,Female,99,1952-07-01,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175,65.49760438056126
Abner,missing,Male,33,1986-01-23,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175,31.93429158110883
Alvira,missing,Female,42,1955-06-05,Account Representative II,not known,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.175,62.57084188911704
Sawyer,missing,Male,36,1956-02-22,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175,61.85352498288843
Feodor,missing,Male,60,1989-11-18,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.171875,28.11498973305955
Paten,missing,Male,56,1995-02-19,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.16875,22.861054072553046
Loria,missing,Female,72,1955-09-06,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.16875,62.31622176591376
Tanya,missing,Female,54,1992-07-05,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,174,1.16875,25.48665297741273
Devonne,missing,Female,79,1939-01-29,Research Associate,not known,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,177,1.1625,78.91854893908283
Omero,missing,Male,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,177,1.1625,65.74674880219028
Iain,missing,Male,92,1950-12-26,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,177,1.1625,67.0116358658453
Keriann,missing,Female,71,1975-03-26,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,177,1.1625,42.76522929500342
Conroy,missing,Male,39,1965-01-08,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,181,1.158125,52.97467488021903
Dorian,missing,Male,78,1974-12-09,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,181,1.158125,43.058179329226554
Quillan,missing,Male,36,1946-03-24,Community Outreach Specialist,not known,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,181,1.158125,71.77002053388091
Harlin,missing,Male,34,1974-03-25,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,181,1.158125,43.76728268309377
Eustacia,missing,Female,68,1985-09-02,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,181,1.158125,32.32580424366872
Maury,missing,Male,65,1992-07-27,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,181,1.158125,25.426420260095824
Reggie,missing,Female,26,1971-11-28,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,181,1.158125,46.08898015058179
Brigitte,missing,Female,67,1973-05-09,Payment Adjustment Coordinator,not known,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,188,1.15625,44.643394934976044
Kinna,missing,Female,7,1986-11-09,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,188,1.15625,31.140314852840522
Maurizio,missing,Male,74,1996-05-30,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,190,1.15546875,21.585215605749486
Elbertina,missing,Female,32,1992-03-27,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,191,1.15,25.760438056125942
Franklin,missing,Male,55,1938-10-16,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,191,1.15,79.2060232717317
Allyson,missing,Female,16,1970-03-19,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,191,1.15,47.78370978781656
Ermentrude,missing,Female,47,1969-08-02,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,191,1.15,48.41067761806981
Alanna,missing,Female,26,1944-01-05,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,195,1.1475,73.98494182067077
Vincent,missing,Male,6,1972-03-10,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,195,1.1475,45.80698151950719
Mandie,missing,Female,60,1981-02-16,Business Systems Development Analyst,not known,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,195,1.1475,36.86789869952088
Collete,missing,Female,66,1990-01-09,Information Systems Manager,not known,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,195,1.1475,27.972621492128678
Leonid,missing,Male,44,1993-11-18,Environmental Tech,not known,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,195,1.1475,24.11498973305955
Charlena,missing,Female,55,1966-01-02,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,195,1.1475,51.9917864476386
Alfonso,missing,Male,70,1940-12-05,no known,not known,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,201,1.1421875,77.06776180698152
Engracia,missing,Female,84,1959-04-19,no known,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,202,1.140625,58.69952087611225
Glyn,missing,Male,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.140625,72.87611225188228
Rosemonde,missing,Female,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,202,1.140625,65.19370294318959
Alano,missing,Male,2,1998-11-26,Recruiting Manager,not known,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,202,1.140625,19.093771389459274
Corrine,missing,Female,19,1948-10-12,Senior Sales Associate,not known,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,206,1.1375,69.21560574948666
Benoit,missing,Male,31,1976-08-27,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7,206,1.1375,41.34154688569473
Jeanne,missing,Female,70,1955-08-18,no known,not known,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,206,1.1375,62.36824093086927
Jenelle,missing,Female,12,1958-01-03,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,206,1.1375,59.98904859685147
Tannie,missing,Male,92,1967-05-25,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,206,1.1375,50.600958247775495
Mick,missing,Male,32,1967-12-12,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10,206,1.1375,50.050650239561946
Abbie,missing,Male,82,1983-11-26,no known,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,212,1.136875,34.09445585215606
Tabbie,missing,Male,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,212,1.136875,20.799452429842574
Shane,missing,Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,212,1.136875,61.204654346338124
Roberta,missing,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,215,1.12890625,70.83641341546885
Kippy,missing,Male,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,215,1.12890625,17.730321697467488
Rosalinde,missing,Female,50,1997-09-04,Business Systems Development Analyst,not known,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,215,1.12890625,20.320328542094455
Cami,missing,Female,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,218,1.12625,54.99520876112252
Dorian,missing,Male,78,1980-02-16,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,219,1.125,37.869952087611225
Hunfredo,missing,Male,7,1994-04-15,no known,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,219,1.125,23.709787816564
Giorgi,missing,Male,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,219,1.125,36.5284052019165
Kort,missing,Male,66,1979-02-05,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,219,1.125,38.899383983572896
Gretna,missing,Female,62,1966-01-08,no known,not known,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,223,1.115625,51.97535934291581
Tobiah,missing,Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,223,1.115625,17.930184804928132
Wallace,missing,Male,91,1977-12-06,no known,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,223,1.115625,40.06570841889117
Hersh,missing,Male,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,226,1.1125,17.51403148528405
Wyn,missing,Male,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,226,1.1125,53.52224503764545
Maribeth,missing,Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,226,1.1125,63.12936344969199
Abigale,missing,Female,48,1963-12-13,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,230,1.109375,54.04791238877481
Gothart,missing,Male,52,1978-05-31,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,231,1.105,39.58384668035592
Danny,missing,Male,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,231,1.105,74.26694045174538
Vittorio,missing,Male,94,1965-08-15,Mechanical Systems Engineer,not known,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,233,1.1,52.375085557837096
Deborah,missing,Female,53,1943-07-14,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,233,1.1,74.46406570841889
Agace,missing,Female,25,1997-07-23,Media Manager II,not known,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,233,1.1,20.438056125941138
Rolland,missing,Male,41,1940-07-13,no known,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,233,1.1,77.46475017111567
Latrena,missing,Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,237,1.094375,74.23682409308692
Mariquilla,missing,Female,30,1939-04-04,Director of Sales,not known,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,237,1.094375,78.74058863791923
Leticia,missing,Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,237,1.094375,76.24366872005476
Harman,missing,Male,4,1961-05-27,Professor,not known,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,240,1.09,56.59411362080767
Farra,missing,Female,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,241,1.0875,43.931553730321696
Robenia,missing,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,241,1.0875,58.64750171115674
Roman,missing,Male,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,241,1.0875,48.27378507871321
Solomon,missing,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,244,1.08375,60.12320328542094
Krystyna,missing,Female,2,1950-09-05,Safety Technician II,not known,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,244,1.08375,67.31827515400411
Katharine,missing,Female,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,244,1.08375,50.3025325119781
Cammy,missing,Female,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,244,1.08375,54.66392881587954
Ellsworth,missing,Male,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,248,1.078125,46.680355920602324
Federico,missing,Male,59,1978-12-11,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,249,1.07578125,39.05270362765229
Ferdy,missing,Male,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,250,1.075,43.630390143737166
Sunny,missing,Female,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,250,1.075,42.80355920602327
Shadow,missing,Male,85,1967-02-03,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,252,1.073125,50.90485968514716
Sharai,missing,Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,252,1.073125,56.95277207392197
Celeste,missing,Female,91,1980-09-16,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,252,1.073125,37.28678986995209
Lea,missing,Female,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,252,1.073125,20.262833675564682
Dyann,missing,Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,252,1.073125,78.45585215605749
Delly,missing,Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,252,1.073125,58.72142368240931
Malvin,missing,Male,37,1962-03-03,Quality Control Specialist,not known,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,252,1.073125,55.827515400410675
Tanya,missing,Female,45,2000-09-25,Product Engineer,not known,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,259,1.0625,17.2621492128679
Kaela,missing,Female,41,1971-11-27,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,259,1.0625,46.091718001368925
Evonne,missing,Female,9,1969-07-06,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,259,1.0625,48.48459958932238
Shannen,missing,Female,21,1991-06-07,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,259,1.0625,26.56536618754278
Bogey,missing,Male,88,1992-11-18,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,259,1.0625,25.114305270362767
Zondra,missing,Female,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,259,1.0625,69.96303901437372
Barnebas,missing,Male,57,1996-02-19,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,259,1.0625,21.861738535249827
Alleen,missing,Female,56,1938-08-31,no known,not known,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,259,1.0625,79.33196440793976
Gerri,missing,Female,81,1969-11-17,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,259,1.0625,48.11772758384668
Antonietta,missing,Female,82,1973-09-25,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7,259,1.0625,44.26283367556468
Raff,missing,Male,70,1951-12-16,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,259,1.0625,66.03969883641342
Lark,missing,Female,89,1972-01-17,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,259,1.0625,45.95208761122519
Cletis,missing,Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,271,1.06,21.49760438056126
Bartram,missing,Male,70,1961-01-03,no known,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,271,1.06,56.988364134154686
Theresa,missing,Female,99,1976-08-24,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,271,1.06,41.34976043805612
Philbert,missing,Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,274,1.051875,61.50581793292265
Egon,missing,Male,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,274,1.051875,41.5523613963039
Dahlia,missing,Female,90,1966-03-07,Environmental Specialist,not known,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,274,1.051875,51.81656399726215
Timi,missing,Female,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,274,1.051875,64.8021902806297
Dominick,missing,Male,50,1962-10-06,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,278,1.05,55.233401779603014
Raye,missing,Female,64,1976-03-07,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,278,1.05,41.81519507186858
Becka,missing,Female,81,1965-07-03,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9,278,1.05,52.492813141683776
Cirillo,missing,Male,7,1968-10-14,Graphic Designer,not known,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,278,1.05,49.210130047912386
Verla,missing,Female,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,282,1.04921875,46.28336755646817
Sherrie,missing,Female,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2,282,1.04921875,39.74537987679671
Dexter,missing,Male,81,1959-01-05,Quality Control Specialist,not known,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,284,1.046875,58.98425735797399
Konstanze,missing,Female,88,1967-01-09,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,QLD,Australia,7,285,1.04125,50.97330595482546
Bink,missing,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,285,1.04125,60.772073921971256
Taber,missing,Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8,287,1.04,70.69130732375086
Debbi,missing,Female,2,1958-12-28,Technical Writer,not known,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,287,1.04,59.006160164271044
Giana,missing,Female,96,1976-04-20,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,289,1.0375,41.69472963723477
Morton,missing,Male,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,289,1.0375,27.129363449691994
Vittoria,missing,Female,95,1981-06-03,Research Assistant I,not known,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,291,1.0359375,36.57494866529774
Paquito,missing,Male,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,VIC,Australia,8,291,1.0359375,45.41820670773443
Dimitri,missing,Male,89,1958-12-07,Chief Design Engineer,not known,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,291,1.0359375,59.063655030800824
Shelli,missing,Female,88,1963-05-11,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,291,1.0359375,54.639288158795345
Kermit,missing,Male,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8,295,1.03125,37.91101984941821
Biddie,missing,Female,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,295,1.03125,29.916495550992472
Rupert,missing,Male,73,1970-08-08,no known,Property,High Net Worth,N,No,19,2 7th Way,2760,NSW,Australia,8,297,1.030625,47.39493497604381
Geoff,missing,Male,97,1965-02-27,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8,297,1.030625,52.837782340862425
Ange,missing,Female,91,1991-02-14,no known,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,297,1.030625,26.874743326488705
Tiphanie,missing,Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,297,1.030625,70.22861054072553
Zollie,missing,Male,39,1988-01-10,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,297,1.030625,29.971252566735114
Daisy,missing,Female,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,302,1.03,24.39151266255989
Emelen,missing,Male,79,1981-08-05,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,302,1.03,36.40246406570842
Linette,missing,Female,56,1949-05-20,Account Executive,not known,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,304,1.025,68.6132785763176
Manya,missing,Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8,304,1.025,62.455852156057496
Brynna,missing,Female,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,304,1.025,43.39219712525667
Art,missing,Male,1,1954-11-09,Marketing Manager,not known,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,304,1.025,63.14031485284052
Alfi,missing,Female,63,1959-06-12,no known,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,304,1.025,58.55167693360712
Loleta,missing,Female,45,1981-02-15,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6,304,1.025,36.87063655030801
Aldric,missing,Male,21,1971-08-19,no known,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,310,1.02265625,46.365503080082135
Natividad,missing,Female,39,1991-02-07,no known,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,310,1.02265625,26.89390828199863
Claudine,missing,Female,28,1965-12-13,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,VIC,Australia,5,312,1.02,52.04654346338125
Seamus,missing,Male,61,1989-12-15,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,312,1.02,28.041067761806982
Guss,missing,Male,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11,312,1.02,49.097878165639976
Julietta,missing,Female,73,1992-01-31,Operator,not known,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,312,1.02,25.913757700205338
Roch,missing,Female,96,1978-05-13,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9,312,1.02,39.6331279945243
Audry,missing,Female,3,1957-10-17,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,312,1.02,60.20260095824778
Cecelia,missing,Female,20,1985-03-26,no known,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,312,1.02,32.76386036960986
Clari,missing,Female,74,1955-07-28,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,312,1.02,62.42573579739904
Zach,missing,Male,87,1981-09-11,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9,320,1.015625,36.30116358658453
Paxon,missing,Male,78,1976-11-06,Information Systems Manager,not known,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,320,1.015625,41.14715947980835
Parnell,missing,Male,23,1977-04-08,Engineer III,Financial Services,High Net Worth,N,No,12,7353 Mallard Junction,2165,NSW,Australia,6,322,1.0125,40.72826830937714
Honey,missing,Female,0,1981-11-29,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9,322,1.0125,36.0848733744011
Sonny,missing,Male,35,1992-08-27,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,324,1.01,25.34154688569473
Deirdre,missing,Female,14,1955-01-08,Programmer III,Health,High Net Worth,N,No,7,0 Stoughton Park,3000,VIC,Australia,1,326,1.009375,62.97604380561259
Haleigh,missing,Female,17,1952-05-19,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,Australia,4,326,1.009375,65.61533196440794
Aldridge,missing,Male,84,1982-02-10,VP Sales,not known,Mass Customer,N,No,12,7 Fordem Point,4161,QLD,Australia,5,326,1.009375,35.885010266940455
Zechariah,missing,Male,32,1978-07-22,Technical Writer,Manufacturing,High Net Worth,N,No,21,797 Westend Street,4207,QLD,Australia,6,329,1.0,39.441478439425055
